N,a,b,Serie,Variancia,Skewness_2,Kurtosis,Alfa,Beta,Psi
8192,1.32,0.21,1,0.379075169585103,0.37300980215482876,-0.7579492136959494,0.22768028210866134,0.21028784460166383,0.3985782211213845
8192,1.32,0.21,2,0.379075169585103,0.37300980215482876,-0.7579492136959494,0.22768028210866134,0.21028784460166383,0.3985782211213845
8192,1.32,0.21,3,0.379075169585103,0.37300980215482876,-0.7579492136959494,0.22768028210866134,0.21028784460166383,0.3985782211213845
8192,1.32,0.21,4,0.379075169585103,0.37300980215482876,-0.7579492136959494,0.22768028210866134,0.21028784460166383,0.3985782211213845
8192,1.32,0.21,5,0.379075169585103,0.37300980215482876,-0.7579492136959494,0.22768028210866134,0.21028784460166383,0.3985782211213845
8192,1.32,0.26,6,0.45174195905617204,0.22885793574284502,-0.9943444018750447,0.2812242377103582,0.1699102006770783,0.4031915767558725
8192,1.32,0.26,7,0.45174195905617204,0.22885793574284502,-0.9943444018750447,0.2812242377103582,0.1699102006770783,0.4031915767558725
8192,1.32,0.26,8,0.45174195905617204,0.22885793574284502,-0.9943444018750447,0.2812242377103582,0.1699102006770783,0.4031915767558725
8192,1.32,0.26,9,0.45174195905617204,0.22885793574284502,-0.9943444018750447,0.2812242377103582,0.1699102006770783,0.4031915767558725
8192,1.32,0.26,10,0.45174195905617204,0.22885793574284502,-0.9943444018750447,0.2812242377103582,0.1699102006770783,0.4031915767558725
8192,1.32,0.31,11,0.5062530040978095,0.3287565233759332,-0.6715313151993012,0.2610019330220035,-0.07395749502503735,0.3571337321059483
8192,1.32,0.31,12,0.5062530040978095,0.3287565233759332,-0.6715313151993012,0.2610019330220035,-0.07395749502503735,0.3571337321059483
8192,1.32,0.31,13,0.5062530040978095,0.3287565233759332,-0.6715313151993012,0.2610019330220035,-0.07395749502503735,0.3571337321059483
8192,1.32,0.31,14,0.5062530040978095,0.3287565233759332,-0.6715313151993012,0.2610019330220035,-0.07395749502503735,0.3571337321059483
8192,1.32,0.31,15,0.5062530040978095,0.3287565233759332,-0.6715313151993012,0.2610019330220035,-0.07395749502503735,0.3571337321059483
8192,1.4,0.21,1,0.41436826702873264,0.27931996193812125,-0.8564538773625543,0.29637758372611905,-0.4578705425217975,0.3927121117164719
8192,1.4,0.21,2,0.41436826702873264,0.27931996193812125,-0.8564538773625543,0.29637758372611905,-0.4578705425217975,0.3927121117164719
8192,1.4,0.21,3,0.41436826702873264,0.27931996193812125,-0.8564538773625543,0.29637758372611905,-0.4578705425217975,0.3927121117164719
8192,1.4,0.21,4,0.41436826702873264,0.27931996193812125,-0.8564538773625543,0.29637758372611905,-0.4578705425217975,0.3927121117164719
8192,1.4,0.21,5,0.41436826702873264,0.27931996193812125,-0.8564538773625543,0.29637758372611905,-0.4578705425217975,0.3927121117164719
8192,1.4,0.26,6,0.4661682827360103,0.2783763588210315,-0.817111316415974,0.2892794155091921,0.024995812235683035,0.4098175327767078
8192,1.4,0.26,7,0.4661682827360103,0.2783763588210315,-0.817111316415974,0.2892794155091921,0.024995812235683035,0.4098175327767078
8192,1.4,0.26,8,0.4661682827360103,0.2783763588210315,-0.817111316415974,0.2892794155091921,0.024995812235683035,0.4098175327767078
8192,1.4,0.26,9,0.4661682827360103,0.2783763588210315,-0.817111316415974,0.2892794155091921,0.024995812235683035,0.4098175327767078
8192,1.4,0.26,10,0.4661682827360103,0.2783763588210315,-0.817111316415974,0.2892794155091921,0.024995812235683035,0.4098175327767078
8192,1.4,0.31,11,0.5472437991613265,0.19600205108936392,-0.9633722196875865,0.36105404955454645,0.26792795880562803,0.4114830937237249
8192,1.4,0.31,12,0.5472437991613265,0.19600205108936392,-0.9633722196875865,0.36105404955454645,0.26792795880562803,0.4114830937237249
8192,1.4,0.31,13,0.5472437991613265,0.19600205108936392,-0.9633722196875865,0.36105404955454645,0.26792795880562803,0.4114830937237249
8192,1.4,0.31,14,0.5472437991613265,0.19600205108936392,-0.9633722196875865,0.36105404955454645,0.26792795880562803,0.4114830937237249
8192,1.4,0.31,15,0.5472437991613265,0.19600205108936392,-0.9633722196875865,0.36105404955454645,0.26792795880562803,0.4114830937237249
