ID,Kurt.,$\alpha$
Antigua and Barbuda,16.453957276315197,0.5613458810797657
Aruba,24.956492631764753,0.6223984376779413
Australia,13.323515297414543,1.322400155769798
Belize,16.52453110858311,0.8007687828725013
Bermuda,19.008543481149193,0.4036779951381296
Bhutan,18.84237668753012,0.6598772830017912
Bonaire Sint Eustatius and Saba,14.17472618210862,0.7972148942736398
British Virgin Islands,12.654000875812642,0.602260418891307
Burundi,16.651804817407665,0.10508965071195518
Dominica,21.69610226698436,0.7897816205225272
Equatorial Guinea,14.083427521091355,0.3470240224823108
Falkland Islands,36.439956082441206,0.26855054526491584
Fiji,29.401289828373518,0.8174019241174713
French Polynesia,19.893759136926718,0.6770052067908174
Gambia,19.58813920337543,0.5339956461365941
Greenland,14.812845592840802,0.9179488187819953
Grenada,23.249506400189656,0.6854645111221387
Iraq,21.828321707376926,0.5141238806797385
Japan,15.498930332144054,1.077254506433779
Libya,13.487628062038315,0.5764368113521818
Liechtenstein,26.038287346594693,0.8491231250983994
Malawi,19.268942933634786,0.5078906068624675
Montserrat,26.202275645829136,0.5935199448545404
Mozambique,14.334334549344526,0.377461083000927
Nepal,24.66148859484545,0.35845960570129026
New Caledonia,20.361638361638363,1.10581798622892
Nicaragua,25.95572836994566,0.3431409573568555
Paraguay,15.969548711198426,0.831981847320979
Puerto Rico,22.505058330726303,0.44782949358117
Saint Kitts and Nevis,31.204084221207545,0.8028383919474644
Saint Lucia,23.329201215097683,0.810238804651238
Saint Vincent and the Grenadines,22.825985528793407,0.4756147999267045
Sao Tome and Principe,24.264525599782473,0.6317264211094596
Sint Maarten (Dutch part),12.488408432623544,0.641124240466814
South Sudan,15.362115765837101,0.6008481680377108
Sri Lanka,17.063843209130887,0.8079093916205822
Suriname,12.582253000737893,0.6657154221799125
Turks and Caicos Islands,19.082403342677342,0.5515870789922444
Uganda,19.23009482521538,1.013017443192063
United States Virgin Islands,22.942291380335956,0.5633312500274605
Vatican,38.34642240838351,0.8728371201213122
Zambia,16.613237007341905,0.6191779098871414
Zimbabwe,37.8212519402947,0.8279468877058946
